"filename", "language", "C++", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\README.md", "Markdown", 0, 18, 0, 0, 8, 26
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\.obsidian\app.json", "JSON", 0, 0, 3, 0, 0, 3
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\.obsidian\appearance.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\.obsidian\core-plugins.json", "JSON", 0, 0, 31, 0, 0, 31
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\.obsidian\graph.json", "JSON", 0, 0, 22, 0, 0, 22
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\.obsidian\workspace.json", "JSON", 0, 0, 193, 0, 0, 193
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Aer.md", "Markdown", 0, 0, 0, 0, 1, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Alienis.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Aqua.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Arbor.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Auram.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Bestia.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Cognitio.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Corpus.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Desidia.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Exanimus.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Fabrico.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Fames.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Gelum.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Gula.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Herba.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Humanus.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Ignis.md", "Markdown", 0, 0, 0, 0, 1, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Infernus.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Instrumentum.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Ira.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Iter.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Limus.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Lucrum.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Lux.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Luxuria.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Machina.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Messis.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Metallum.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Meto.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Mortuus.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Motus.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Ordo.md", "Markdown", 0, 0, 0, 0, 1, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Pannus.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Perditio.md", "Markdown", 0, 0, 0, 0, 1, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Perfodio.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Permutatio.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Potentia.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Praecantatio.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Sano.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Sensus.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Spiritus.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Superbia.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Telum.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Tempestas.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Tenebrae.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Terra.md", "Markdown", 0, 0, 0, 0, 1, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Tutamen.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Vacuos.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Venenum.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Victus.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Vinculum.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Vitium.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Vitreus.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\Thaumcraft\Volatus.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\aspectpath.cc", "C++", 64, 0, 0, 8, 9, 81
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\aspectpath.h", "C++", 16, 0, 0, 0, 4, 20
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\findcommons.cc", "C++", 79, 0, 0, 25, 12, 116
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\findcommons.h", "C++", 25, 0, 0, 0, 7, 32
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\main.cpp", "C++", 6, 0, 0, 0, 4, 10
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\network.cc", "C++", 37, 0, 0, 0, 7, 44
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\network.h", "C++", 22, 0, 0, 0, 6, 28
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\obsidian.cc", "C++", 117, 0, 0, 11, 13, 141
"c:\Users\Danny\Documents\GitHub\Thaumcraft-Solver\obsidian.h", "C++", 25, 0, 0, 0, 4, 29
"Total", "-", 391, 67, 250, 44, 79, 831
